player,team,season,plays,epa_cpoe_composite,epa_per_play,unadjusted_epa_per_play,success_rate,comp_pct,expected_comp_pct,cpoe,air_yards,mvp,epa_per_play_rank
K.Warner,LA,1999,527,0.17,0.343,0.327,50.90%,,,0,,Yes,1
K.Warner,LA,2001,635,0.135,0.243,0.226,51.70%,,,0,,Yes,1
R.Gannon,LV,2002,720,0.128,0.224,0.207,53.90%,,,0,,Yes,2
S.McNair,TEN,2003,469,0.143,0.263,0.236,49.90%,,,0,,Yes,1
P.Manning,IND,2003,634,0.129,0.226,0.216,50.20%,,,0,,Yes,2
P.Manning,IND,2004,563,0.2,0.447,0.441,58.40%,,,0,,Yes,1
T.Brady,NE,2007,653,0.239,0.431,0.422,58.70%,69.1,61.2,7.8,8.2,Yes,1
P.Manning,IND,2008,598,0.176,0.277,0.249,52.00%,67,62,5,8.7,Yes,2
P.Manning,IND,2009,612,0.199,0.322,0.309,55.10%,68.9,62.4,6.5,8.7,Yes,2
T.Brady,NE,2010,564,0.167,0.28,0.277,49.80%,66.5,63.3,3.2,7.9,Yes,1
A.Rodgers,GB,2011,626,0.24,0.412,0.411,54.80%,70,61,9,9.1,Yes,1
P.Manning,DEN,2013,727,0.21,0.361,0.346,55.00%,68.8,62.4,6.4,7.9,Yes,1
A.Rodgers,GB,2014,615,0.191,0.356,0.348,54.80%,66.2,63.1,3.1,8.1,Yes,1
C.Newton,CAR,2015,680,0.112,0.179,0.171,50.10%,60.8,60.6,0.1,10.4,Yes,8
M.Ryan,ATL,2016,625,0.206,0.337,0.325,54.60%,70.8,63.9,6.9,8.7,Yes,1
T.Brady,NE,2017,681,0.163,0.261,0.244,52.30%,66.6,62.9,3.7,9.1,Yes,1
P.Mahomes,KC,2018,695,0.205,0.38,0.363,53.40%,68.3,63.8,4.5,9.1,Yes,1
L.Jackson,BAL,2019,605,0.191,0.344,0.342,51.90%,68.7,64.8,3.8,8.8,Yes,1
A.Rodgers,GB,2020,609,0.217,0.37,0.362,55.20%,74.3,67.1,7.2,8,Yes,1
